"CK_SiteID","Building Size","Region","County","City","State","Zip","Zip_notes","Heating Zone","Heating Zone_notes","Cooling Zone","Cooling Zone_notes","Electric Utility","Gas Utility","BPA Utility","Strata Territory","Strata Population Estimate","Strata Population Estimate_notes","Site Case Weight","Site Case Weight_Notes","Site Visit Date","Site Visit Date_notes","Vintage","Vintage_notes","N Floors","N Floors_notes","In MF Complex","Qty Buildings in Complex","Qty Buildings in Complex_notes","Qty Studio Units","Qty Studio Units_notes","Qty One-Bedroom Units","Qty One-Bedroom Units_notes","Qty Two-Bedroom Units","Qty Two-Bedroom Units_notes","Qty Three-Bedroom Units","Qty Three-Bedroom Units_notes","Qty Four-Bedroom Units","Qty Four-Bedroom Units_notes","Total Units in Building","Total Units in Building_notes","Limited to 55 or Older","Limited to Low Income","Construction","Framing Type","Foundation Type","Commercial Space in Building","Parking Provided","Parking Lot","Covered Lot","Open Garage","Enclosed Garage","Parking Area Directly Illuminated","Parking Area (sq ft)","Parking Area (sq ft)_notes","Parking Stalls","Parking Stalls_notes","Parking Reserved for Commercial","Parking Reserved for Commercial_notes","Parking Notes","Interior Building Common Areas","Elevator Qty","Elevator Qty_notes","Pool Type","Pool Cover","Pool Solar Assist","Pool Location","Pool Heating Fuel","Pool Availability (months)","Pool Availability (months)_notes","Qty Residential Floors","Qty Residential Floors_notes","Qty Non-Residential Floors","Qty Non-Residential Floors_notes","Qty Parking Floors","Qty Parking Floors_notes","Qty Storage/Mechanical Floors","Qty Storage/Mechanical Floors_notes","Residential Area (sq ft)","Residential Area (sq ft)_notes","Interior Common Area (sq ft)","Interior Common Area (sq ft)_notes","Total Enclosed Area (sq ft)","Total Enclosed Area (sq ft)_notes","Commercial Area (sq ft)","Commercial Area (sq ft)_notes","Grocery Area (sq ft)","Grocery Area (sq ft)_notes","Office Area (sq ft)","Office Area (sq ft)_notes","Retail Area (sq ft)","Retail Area (sq ft)_notes","Other Commercial Area (sq ft)","Other Commercial Area (sq ft)_notes","Vacant Area (sq ft)","Vacant Area (sq ft)_notes","Total Ceiling Area","Total Ceiling Area_notes","Total Ceiling U-Value","Total Ceiling U-Value_notes","Ceiling UA","Ceiling UA-Notes","Total Wall Area","Total Wall Area_notes","Total Wall U-Value","Total Wall U-Value_notes","Wall UA","Wall UA_notes","Total Floor Area","Total Floor Area_notes","Total Floor U-Value","Total Floor U-Value_notes","Floor UA","Floor UA_notes","Total Window Area","Total Window Area_notes","Window UA","Window UA_notes","Whole House UA","Whole House UA_notes","Area of Conditioned Common Space","Area of Conditioned Common Space_notes","Total Residential Floor Area","Total Residential Floor Area_notes","Total Non-Residential Floor Area","Total Non-Residential Floor Area_notes","Total Conditioned Area","Total Conditioned Area_notes","Primary Heating System","Primary Heating Fuel","Primary Cooling System","Central Building Heat","Common Area Primary Heating System","Common Area Primary Heating Fuel","Common Area Primary Cooling System","Annual Residential Electric Usage (kWh)","Annual Residential Electric Usage (kWh)_notes","Annual Non-Residential Electric Usage (kWh)","Annual Non-Residential Electric Usage (kWh)_notes","Annual Electric Usage (kWh)","Annual Electric Usage (kWh)_notes","Annual Residential Gas Usage (Therms)","Annual Residential Gas Usage (Therms)_notes","Annual Non-Residential Gas Usage (Therms)","Annual Non-Residential Gas Usage (Therms)_notes","Annual Gas Usage (Therms)","Annual Gas Usage (Therms)_notes","Annual Residential Electric Usage (kBtu)","Annual Residential Electric Usage (kBtu)_notes","Annual Non-Residential Electric Usage (kBtu)","Annual Non-Residential Electric Usage (kBtu)_notes","Annual Electric Usage (kBtu)","Annual Electric Usage (kBtu)_notes","Annual Residential Gas Usage (kBtu)","Annual Residential Gas Usage (kBtu)_notes","Annual Non-Residential Gas Usage (kBtu)","Annual Non-Residential Gas Usage (kBtu)_notes","Annual Gas Usage (kBtu)","Annual Gas Usage (kBtu)_notes"
"BLDG_00001","Apartment Building (3 or fewer floors)","Western Oregon","Lane, OR","EUGENE","OR",97402,,1,,1,,"Eugene Water and Electric Board",,"Y","BPA",2791,,47.3000,,9/5/2017 12:00:00 AM,,1969,,2.00000,,"Yes",3,,0,,20,,0,,0,,0,,20,,"No","No","Frame over concrete slab","Wood","> 90% Slab","No","Yes","Yes","No","No","No","NA",2400.0000,,20,,0,,"NA","No",0,,"N/A","NA","NA","NA","NA",,"NA",2.00000,,0.0000,,0.0000,,0.0000,,9800.0000,,,"NA",9800.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",4900.0000,,0.0657,,321.9000,,4768.0000,,,"Exclude",,"Exclude",4900.0000,,0.0444,,217.5000,,817.2000,,15.5000,,,"Exclude",0.0000,,9800.0000,,0.0000,,9800.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",4938.5000,,,"N/A",98770.9000,,,"N/A",,"N/A",,"N/A",16850.3100,,,"N/A",337006.2000,,,"N/A",,"N/A",,"N/A"
"BLDG_00002","Apartment Building (3 or fewer floors)","Puget Sound","Snohomish, WA","EDMONDS","WA",98026,,1,,1,,"Snohomish PUD",,"Y","SnoPUD",2183,,77.9700,,7/12/2017 12:00:00 AM,,1970,,3.00000,,"No",1,,0,,20,,20,,0,,0,,40,,"No","No","Frame","Wood","> 90% Slab","No","Yes","Yes","No","No","No","NA",11880.0000,,60,,0,,"NA","Yes",1,,"N/A","NA","NA","NA","NA",,"NA",3.00000,,0.0000,,0.0000,,0.0000,,32530.0000,,6395.0000,,38925.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",12975.0000,,0.0253,,328.1000,,20640.0000,,0.0838,,1729.4000,,12975.0000,,0.0484,,627.8000,,3657.8000,,34.7000,,4075.2000,,6395.0000,,32530.0000,,0.0000,,38925.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A"
"BLDG_00003","Apartment Building (3 or fewer floors)","Puget Sound","Snohomish, WA","LYNNWOOD","WA",98036,,1,,1,,"Snohomish PUD",,"Y","SnoPUD",2183,,77.9700,,2/10/2017 12:00:00 AM,,1967,,3.00000,,"No",1,,0,,42,,0,,0,,0,,42,,"No","No","Frame over concrete slab","Wood","> 90% Slab","No","Yes","Yes","No","No","No","NA",17766.0000,,58,,0,,"NA","Yes",0,,"N/A","NA","NA","NA","NA",,"NA",3.00000,,0.0000,,0.0000,,0.0000,,34500.0000,,3000.0000,,37500.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",12500.0000,,0.0446,,558.1000,,14400.0000,,0.1466,,2111.4000,,12500.0000,,0.0350,,438.0000,,5639.7000,,94.0000,,7055.3000,,3000.0000,,34500.0000,,0.0000,,37500.0000,,"Zonal Heat","Electric","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A"
"BLDG_00004","Apartment Building (3 or fewer floors)","Puget Sound","Snohomish, WA","LYNNWOOD","WA",98037,,1,,1,,"Snohomish PUD",,"Y","SnoPUD",2183,,77.9700,,2/9/2017 12:00:00 AM,,1970,,2.00000,,"No",1,,0,,0,,8,,0,,0,,8,,"Unknown","Unknown","Frame","Wood","> 90% Crawlspace","No","Yes","Yes","No","No","No","NA",,"NA",,"NA",20,,"NA","No",0,,"Unknown","NA","NA","Outdoor","Unknown",,"NA",2.00000,,0.0000,,0.0000,,0.0000,,7400.0000,,,"NA",7400.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",3700.0000,,0.0253,,93.6000,,5508.0000,,0.1173,,646.1000,,3700.0000,,0.0847,,313.5000,,1106.3000,,96.8000,,1827.6000,,0.0000,,7400.0000,,0.0000,,7400.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A"
"BLDG_00005","Apartment Building (3 or fewer floors)","Puget Sound","Snohomish, WA","LYNNWOOD","WA",98087,,1,,1,,"Snohomish PUD",,"Y","SnoPUD",2183,,77.9700,,2/11/2017 12:00:00 AM,,2001,,3.00000,,"Yes",8,,0,,4,,4,,0,,0,,8,,"No","No","Frame over concrete slab","Wood","> 90% Slab","No","Yes","Yes","Yes","No","Yes","NA",4550.0000,,14,,0,,"NA","No",0,,"N/A","NA","NA","NA","NA",,"NA",3.00000,,0.0000,,0.0000,,0.0000,,7816.0000,,,"NA",7816.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",2968.0000,,0.0260,,77.2000,,7020.0000,,0.0952,,668.6000,,2968.0000,,0.0748,,221.9000,,1052.9000,,50.0000,,1367.8000,,0.0000,,7816.0000,,0.0000,,7816.0000,,"Zonal Heat","Electric","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A"
"BLDG_00006","Apartment Building (4 to 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98101,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/10/2017 12:00:00 AM,,1993,,5.50000,,"No",1,,39,,35,,14,,12,,0,,100,,"No","Yes","Rigid frame (concrete or steel)","Steel","Other","No","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Unknown",1,,"N/A","NA","NA","NA","NA",,"NA",5.00000,,0.0000,,0.5000,,0.0000,,60234.0000,,29891.0000,,90125.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",5661.1000,,21.5000,,,"Exclude",0.0000,,90125.0000,,29891.0000,,60234.0000,,"Zonal Heat","Electric","N/A","N/A","N/A","N/A","N/A",4793.2000,,,"N/A",479317.0000,,,"N/A",,"N/A",,"N/A",16354.2900,,,"N/A",1635429.5000,,,"N/A",,"N/A",,"N/A"
"BLDG_00007","Apartment Building (4 to 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98101,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/13/2017 12:00:00 AM,,1980,,5.00000,,"No",1,,47,,0,,0,,0,,0,,47,,"No","Yes","Solid masonry","Concrete","> 90% Slab","Yes","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",1,,"N/A","NA","NA","NA","NA",,"NA",4.00000,,1.0000,,0.0000,,0.0000,,21660.0000,,600.0000,,22980.0000,,720.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",2562.8000,,20.7000,,,"Exclude",600.0000,,21660.0000,,720.0000,,22980.0000,,"Boiler","Unknown","N/A","N/A","N/A","N/A","N/A",2302.4000,,,"N/A",108211.7000,,,"N/A",,"N/A",,"N/A",7855.7100,,,"N/A",369218.4000,,,"N/A",,"N/A",,"N/A"
"BLDG_00008","Apartment Building (More than 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98101,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/9/2017 12:00:00 AM,,1970,,21.00000,,"No",1,,0,,22,,30,,13,,0,,65,,"No","No","Rigid frame (concrete or steel)","Concrete","Other","Yes","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",2,,"N/A","NA","NA","NA","NA",,"NA",18.00000,,1.0000,,4.0000,,1.0000,,72430.0000,,7596.0000,,84026.0000,,2000.0000,,2000.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",17086.0000,,184.0000,,,"Exclude",7596.0000,,72430.0000,,4000.0000,,84026.0000,,"Zonal Heat","Electric","N/A","N/A","N/A","N/A","N/A",11118.8000,,,"N/A",722719.6000,,320.9000,,,"N/A",20861.2000,,37937.2200,,,"N/A",2465919.1000,,32094.1000,,,"N/A",2086119.1000,
"BLDG_00009","Apartment Building (3 or fewer floors)","Puget Sound","King, WA","SEATTLE","WA",98102,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/17/2017 12:00:00 AM,,1924,,2.00000,,"No",1,,4,,6,,0,,0,,0,,10,,"No","No","Frame","Wood","> 90% Unconditioned Basement","No","No","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",0,,"N/A","NA","NA","NA","NA",,"NA",2.00000,,0.0000,,0.0000,,0.5000,,4400.0000,,683.0000,,5083.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",3669.0000,,0.0446,,163.8000,,7100.0000,,0.0986,,699.9000,,3669.0000,,0.0894,,328.1000,,696.6000,,58.5000,,1776.9000,,683.0000,,4400.0000,,0.0000,,5083.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A"
"BLDG_00010","Apartment Building (4 to 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98103,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/9/2017 12:00:00 AM,,1928,,3.50000,,"No",1,,0,,14,,0,,0,,0,,14,,"No","No","Solid masonry","Masonry","> 90% Conditioned Basement","No","No","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",0,,"N/A","NA","NA","NA","NA",,"NA",4.00000,,0.0000,,0.0000,,0.5000,,7962.0000,,1718.0000,,9680.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",2700.0000,,0.0253,,68.3000,,6577.0000,,0.3730,,2453.4000,,2700.0000,,0.1040,,280.8000,,1111.1000,,30.2000,,3224.7000,,1718.0000,,7962.0000,,0.0000,,9680.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",4830.6000,,,"N/A",67628.0000,,64.3000,,,"N/A",899.8000,,16481.9100,,,"N/A",230746.8000,,6427.0000,,,"N/A",89978.0000,
"BLDG_00011","Apartment Building (More than 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98109,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,8/22/2017 12:00:00 AM,,2011,,7.00000,,"No",1,,,"Unknown",,"Unknown",,"Unknown",0,,0,,275,,"No","Yes","Unknown","Unknown","Other","Yes","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",4,,"N/A","NA","NA","NA","NA",,"NA",6.00000,,1.0000,,0.0000,,0.0000,,191168.0000,,55244.0000,,264033.0000,,13706.0000,,0.0000,,0.0000,,0.0000,,0.0000,,3915.0000,,0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",26583.3000,,36.7000,,,"Exclude",55244.0000,,191168.0000,,17621.0000,,264033.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",3197.2000,,,"N/A",879230.4000,,,"N/A",,"N/A",,"N/A",10908.8500,,,"N/A",2999934.2000,,,"N/A",,"N/A",,"N/A"
"BLDG_00012","Apartment Building (4 to 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98112,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/24/2017 12:00:00 AM,,1967,,4.00000,,"Yes",19,,0,,0,,56,,0,,0,,56,,"No","No","Frame","Wood","Other","No","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",3,,"Pool - heated","No","No","Outdoor","Gas/oil",6.00000,,4.00000,,0.0000,,1.0000,,1.0000,,59152.8000,,2957.6400,,62110.4400,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",16839.4000,,114.3000,,,"Exclude",2957.6000,,59152.8000,,0.0000,,62110.4000,,"Mini-split HP","Electric","Mini-split HP","N/A","N/A","N/A","N/A",10665.4000,,,"N/A",597263.7000,,,"N/A",,"N/A",,"N/A",36390.4300,,,"N/A",2037863.9000,,,"N/A",,"N/A",,"N/A"
"BLDG_00013","Apartment Building (4 to 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98115,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/8/2017 12:00:00 AM,,1890,,4.00000,,"No",1,,0,,34,,5,,0,,0,,39,,"Yes","Yes","Solid masonry","Masonry","> 90% Slab","No","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",1,,"N/A","NA","NA","NA","NA",,"NA",3.00000,,1.0000,,0.0000,,0.0000,,22767.0000,,9161.0000,,31928.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",7474.1000,,72.8000,,,"Exclude",9161.0000,,22767.0000,,0.0000,,31928.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",6669.4000,,,"N/A",260106.6000,,,"N/A",,"N/A",,"N/A",22756.0000,,,"N/A",887483.8000,,,"N/A",,"N/A",,"N/A"
"BLDG_00014","Apartment Building (4 to 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98115,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/15/2017 12:00:00 AM,,1979,,4.00000,,"No",1,,0,,84,,0,,0,,0,,84,,"No","No","Frame","Wood","> 90% Unconditioned Basement","No","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",1,,"Pool - heated","Yes","No","Outdoor","Electric",6.00000,,4.00000,,1.0000,,1.0000,,0.0000,,93568.0000,,340.0000,,93908.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",6659.3000,,48.3000,,,"Exclude",340.0000,,93568.0000,,0.0000,,93908.0000,,"Electric Baseboard","Electric","Packaged AC","N/A","N/A","N/A","N/A",6849.4000,,,"N/A",575349.3000,,111.5000,,,"N/A",9367.4000,,23370.1400,,,"N/A",1963091.7000,,11151.7000,,,"N/A",936739.7000,
"BLDG_00015","Apartment Building (4 to 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98107,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/15/2017 12:00:00 AM,,2014,,6.00000,,"No",1,,59,,186,,59,,0,,0,,304,,"No","No","Rigid frame (concrete or steel)","Unknown","Other","Yes","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",4,,"N/A","NA","NA","NA","NA",,"NA",5.50000,,0.5000,,2.0000,,0.0000,,208000.0000,,38800.0000,,263600.0000,,8400.0000,,0.0000,,0.0000,,0.0000,,4200.0000,,4200.0000,,0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",21526.5000,,26.9000,,,"Exclude",38800.0000,,208000.0000,,16800.0000,,263600.0000,,"Zonal Heat","Electric","N/A","N/A","N/A","N/A","N/A",3201.9000,,,"N/A",973371.2000,,,"N/A",,"N/A",,"N/A",10924.8100,,,"N/A",3321142.6000,,,"N/A",,"N/A",,"N/A"
"BLDG_00016","Apartment Building (3 or fewer floors)","Puget Sound","King, WA","SEATTLE","WA",98118,,1,,1,,"Puget Sound Energy",,"N","PSE - King County",4651,,89.4300,,2/10/2017 12:00:00 AM,,2001,,3.00000,,"Yes",3,,0,,83,,1,,0,,0,,84,,"Yes","Yes","Unknown","N/A","> 90% Conditioned Basement","No","Yes","Yes","No","No","No","NA",780.0000,,10,,0,,"Only measured spots for the audited  building section","Yes",3,,"N/A","NA","NA","NA","NA",,"NA",3.00000,,0.0000,,0.0000,,0.0000,,50400.0000,,12600.0000,,63000.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",21000.0000,,0.0446,,937.5000,,22950.0000,,0.1123,,2576.3000,,21000.0000,,0.0355,,744.6000,,3976.0000,,18.0000,,5769.3000,,12600.0000,,50400.0000,,0.0000,,63000.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",68.9000,,,"N/A",5787.1000,,,"N/A",,"N/A",,"N/A",6889.4000,,,"N/A",578707.5000,
"BLDG_00017","Apartment Building (4 to 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98119,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/24/2017 12:00:00 AM,,1996,,5.00000,,"No",1,,0,,0,,28,,0,,0,,28,,"No","No","Unknown","Unknown","Unknown","No","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",1,,"Unknown","NA","NA","NA","NA",,"NA",5.00000,,0.0000,,2.0000,,,"NA",20521.2000,,1026.0600,,21547.2600,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",4179.0000,,56.7000,,,"Exclude",1026.1000,,20521.2000,,0.0000,,21547.3000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",6254.9000,,,"N/A",175138.1000,,,"N/A",,"N/A",,"N/A",21341.8300,,,"N/A",597571.3000,,,"N/A",,"N/A",,"N/A"
"BLDG_00018","Apartment Building (More than 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98121,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/16/2017 12:00:00 AM,,1999,,13.00000,,"No",1,,,"Unknown",,"Unknown",,"Unknown",0,,0,,206,,"No","No","Unknown","Unknown","Other","Yes","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",2,,"Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",11.50000,,1.0000,,2.5000,,0.0000,,199600.0000,,30400.0000,,248400.0000,,9200.0000,,0.0000,,4600.0000,,4600.0000,,0.0000,,0.0000,,0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",38746.4000,,71.5000,,,"Exclude",30400.0000,,199600.0000,,18400.0000,,248400.0000,,"Air Source Heat Pump","Electric","N/A","N/A","N/A","N/A","N/A",4188.8000,,23090.9000,,885989.2000,,,"N/A",,"N/A",,"N/A",14292.2800,,78786.2000,,3022995.2000,,,"N/A",,"N/A",,"N/A"
"BLDG_00019","Apartment Building (4 to 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98125,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/9/2017 12:00:00 AM,,2004,,6.00000,,"No",1,,,"Unknown",,"Unknown",,"Unknown",,"Unknown",,"Unknown",53,,"No","No","Rigid frame (concrete or steel)","Concrete","Other","No","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",2,,"N/A","NA","NA","NA","NA",,"NA",6.00000,,0.0000,,1.6600,,0.3400,,36544.0000,,3780.0000,,40324.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",1528.9000,,11.0000,,,"Exclude",3780.0000,,36544.0000,,0.0000,,40324.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",3853.6000,,,"N/A",204243.2000,,,"N/A",,"N/A",,"N/A",13148.6400,,,"N/A",696877.9000,,,"N/A",,"N/A",,"N/A"
"BLDG_00020","Apartment Building (3 or fewer floors)","Puget Sound","King, WA","SEATTLE","WA",98125,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,6/5/2017 12:00:00 AM,,1965,,3.00000,,"No",1,,1,,22,,3,,0,,0,,26,,"No","No","Solid masonry","Brick","> 90% Slab","No","Yes","Yes","No","No","No","NA",7380.0000,,23,,0,,"NA","Yes",0,,"N/A","NA","NA","NA","NA",,"NA",3.00000,,0.0000,,0.0000,,0.0000,,17038.0000,,374.0000,,17412.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",5804.0000,,0.0446,,259.1000,,10125.0000,,0.0838,,848.3000,,5804.0000,,0.0566,,328.5000,,2395.1000,,106.9000,,4214.2000,,374.0000,,17038.0000,,0.0000,,17412.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",6022.0000,,,"N/A",156572.0000,,,"N/A",,"N/A",,"N/A",20547.0600,,,"N/A",534223.6000,,,"N/A",,"N/A",,"N/A"
"BLDG_00021","Apartment Building (4 to 6 floors)","Puget Sound","King, WA","SEATTLE","WA",98125,,1,,1,,"Seattle City Light",,"Y","SCL",2633,,37.0800,,2/10/2017 12:00:00 AM,,1972,,5.00000,,"No",1,,0,,71,,0,,0,,0,,71,,"No","Yes","Solid masonry","Masonry","> 90% Slab","No","NA","NA","NA","NA","NA","NA",,"NA",,"NA",,"NA","NA","Yes",1,,"N/A","NA","NA","NA","NA",,"NA",5.00000,,0.0000,,0.0000,,0.0000,,40053.0000,,9437.0000,,49490.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",0.0000,,,"Exclude",,"Exclude",3516.4000,,18.8000,,,"Exclude",9437.0000,,40053.0000,,0.0000,,49490.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",4032.8000,,,"N/A",286329.3000,,,"N/A",,"N/A",,"N/A",13759.9400,,,"N/A",976955.6000,,,"N/A",,"N/A",,"N/A"
"BLDG_00022","Apartment Building (3 or fewer floors)","Puget Sound","Snohomish, WA","LYNNWOOD","WA",98036,,1,,1,,"Snohomish PUD",,"Y","SnoPUD",2183,,77.9700,,2/7/2017 12:00:00 AM,,1979,,2.00000,,"No",1,,0,,0,,8,,0,,0,,8,,"No","No","Frame over concrete slab","Wood","> 90% Slab","No","Yes","No","Yes","No","No","NA",2160.0000,,12,,0,,"NA","No",0,,"N/A","NA","NA","NA","NA",,"NA",2.00000,,0.0000,,0.0000,,0.0000,,7920.0000,,,"NA",7920.0000,,,"NA",,"NA",,"NA",,"NA",,"NA",,"NA",3960.0000,,0.0439,,173.7000,,4896.0000,,0.1123,,549.6000,,3960.0000,,0.0564,,223.4000,,973.7000,,46.2000,,1316.7000,,0.0000,,7920.0000,,0.0000,,7920.0000,,"Electric Baseboard","Electric","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A"
